station,model,roc_auc,brier,pr_auc,ci_lo,ci_hi
phuket,Climatological,0.6498,0.2318,0.6119,0.5887,0.7051
phuket,LR+F1,0.7412,0.2052,0.7248,0.6862,0.7895
phuket,LR+F2,0.744,0.2034,0.734,0.6909,0.7934
phuket,XGB+F3,0.6848,0.2553,0.6304,0.6296,0.7373
phuket,RF+F3,0.7364,0.2059,0.6853,0.6858,0.7865
krabi,Climatological,0.6104,0.2298,0.4651,0.5514,0.6695
krabi,LR+F1,0.7305,0.2093,0.6201,0.6781,0.7772
krabi,LR+F2,0.7368,0.2051,0.6342,0.6838,0.7843
krabi,XGB+F3,0.7406,0.214,0.6208,0.6893,0.7896
krabi,RF+F3,0.7614,0.1914,0.6335,0.7106,0.8076
phangnga,Climatological,0.5836,0.2389,0.4987,0.5235,0.6454
phangnga,LR+F1,0.733,0.2103,0.6589,0.6785,0.7814
phangnga,LR+F2,0.7397,0.2058,0.6601,0.6871,0.79
phangnga,XGB+F3,0.7102,0.2421,0.5941,0.659,0.7617
phangnga,RF+F3,0.729,0.2058,0.6075,0.6764,0.7765
