station,Model,Feature_Set,season,AUC,n
phuket,LR,F1,SW,0.7257,235
phuket,LR,F1,NE,0.8108,129
phuket,RF,F3,SW,0.6934,235
phuket,RF,F3,NE,0.8268,129
phuket,XGB,F3,SW,0.6166,235
phuket,XGB,F3,NE,0.8061,129
krabi,LR,F1,SW,0.7,235
krabi,LR,F1,NE,0.8284,129
krabi,RF,F3,SW,0.7077,235
krabi,RF,F3,NE,0.8644,129
krabi,XGB,F3,SW,0.6721,235
krabi,XGB,F3,NE,0.87,129
phangnga,LR,F1,SW,0.7203,235
phangnga,LR,F1,NE,0.7802,129
phangnga,RF,F3,SW,0.6824,235
phangnga,RF,F3,NE,0.8173,129
phangnga,XGB,F3,SW,0.6661,235
phangnga,XGB,F3,NE,0.7857,129
