station,feature,mean_abs_shap
phuket,SHOW,0.239894
phuket,LIFT,0.113738
phuket,SWET,0.349111
phuket,KINX,0.229114
phuket,VTOT,0.09692
phuket,CAPE,0.079416
phuket,CINS,0.087439
phuket,CINV,0.149982
phuket,EQLV,0.211511
phuket,LFCT,0.145741
phuket,LFCV,0.073523
phuket,BRCH,0.173903
phuket,LCLT,0.190582
phuket,LCLP,0.130324
phuket,MLTH,0.132723
phuket,THTK,0.214698
phuket,PWAT,1.024303
phuket,WS850,0.179113
phuket,WDsin850,0.06648
phuket,WDcos850,0.093438
phuket,WS700,0.119474
phuket,WS200,0.148113
phuket,VWS,0.121133
phuket,VWS_lo,0.162105
krabi,SHOW,0.169786
krabi,LIFT,0.120079
krabi,SWET,0.206066
krabi,KINX,0.245323
krabi,VTOT,0.148568
krabi,CAPE,0.142202
krabi,CINS,0.120024
krabi,CINV,0.062959
krabi,EQLV,0.104528
krabi,LFCT,0.156077
krabi,LFCV,0.085889
krabi,BRCH,0.129183
krabi,LCLT,0.179991
krabi,LCLP,0.084789
krabi,MLTH,0.180894
krabi,THTK,0.26581
krabi,PWAT,0.96939
krabi,WS850,0.203912
krabi,WDsin850,0.11242
krabi,WDcos850,0.148236
krabi,WS700,0.111867
krabi,WS200,0.187245
krabi,VWS,0.142263
krabi,VWS_lo,0.1547
phangnga,SHOW,0.224877
phangnga,LIFT,0.100741
phangnga,SWET,0.163826
phangnga,KINX,0.259944
phangnga,VTOT,0.132114
phangnga,CAPE,0.119784
phangnga,CINS,0.123524
phangnga,CINV,0.231437
phangnga,EQLV,0.16567
phangnga,LFCT,0.080305
phangnga,LFCV,0.065045
phangnga,BRCH,0.25228
phangnga,LCLT,0.184628
phangnga,LCLP,0.069338
phangnga,MLTH,0.121573
phangnga,THTK,0.168028
phangnga,PWAT,1.03241
phangnga,WS850,0.208079
phangnga,WDsin850,0.081943
phangnga,WDcos850,0.125281
phangnga,WS700,0.125872
phangnga,WS200,0.190462
phangnga,VWS,0.208803
phangnga,VWS_lo,0.165595
